Time,,Actual ACCurrent (2)
s,,
,,
,,
0,,0
0.01,,0
0.02,,0
0.03,,0
0.04,,0
0.05,,0
0.06,,0
0.07,,0
0.08,,0.9
0.09,,0.9
0.1,,0.9
0.11,,0.9
0.12,,0.9
0.13,,0.9
0.14,,0.9
0.15,,0.9
0.16,,0.9
0.17,,0.9
0.18,,2.4
0.19,,2.4
0.2,,2.4
0.21,,2.4
0.22,,2.4
0.23,,2.4
0.24,,2.4
0.25,,2.4
0.26,,2.4
0.27,,2.4
0.28,,9.9
0.29,,9.9
0.3,,9.9
0.31,,9.9
0.32,,9.9
0.33,,9.9
0.34,,9.9
0.35,,9.9
0.36,,9.9
0.37,,9.9
0.38,,48.8
0.39,,48.8
0.4,,48.8
0.41,,48.8
0.42,,48.8
0.43,,48.8
0.44,,48.8
0.45,,48.8
0.46,,48.8
0.47,,48.8
0.48,,68.5
0.49,,68.5
0.5,,68.5
0.51,,68.5
0.52,,68.5
0.53,,68.5
0.54,,68.5
0.55,,68.5
0.56,,68.5
0.57,,68.5
0.58,,80.2
0.59,,80.2
0.6,,80.2
0.61,,80.2
0.62,,80.2
0.63,,80.2
0.64,,80.2
0.65,,80.2
0.66,,80.2
0.67,,80.2
0.68,,64.9
0.69,,64.9
0.7,,64.9
0.71,,64.9
0.72,,64.9
0.73,,64.9
0.74,,64.9
0.75,,64.9
0.76,,64.9
0.77,,64.9
0.78,,69.7
0.79,,69.7
0.8,,69.7
0.81,,69.7
0.82,,69.7
0.83,,69.7
0.84,,69.7
0.85,,69.7
0.86,,69.7
0.87,,69.7
0.88,,52
0.89,,52
0.9,,52
0.91,,52
0.92,,52
0.93,,52
0.94,,52
0.95,,52
0.96,,52
0.97,,52
0.98,,44.3
0.99,,44.3
1,,44.3
1.01,,44.3
1.02,,44.3
1.03,,44.3
1.04,,44.3
1.05,,44.3
1.06,,44.3
1.07,,44.3
1.08,,43.4
1.09,,43.4
1.1,,43.4
1.11,,43.4
1.12,,43.4
1.13,,43.4
1.14,,43.4
1.15,,43.4
1.16,,43.4
1.17,,43.4
1.18,,42.1
1.19,,42.1
1.2,,42.1
1.21,,42.1
1.22,,42.1
1.23,,42.1
1.24,,42.1
1.25,,42.1
1.26,,42.1
1.27,,42.1
1.28,,42
1.29,,42
1.3,,42
1.31,,42
1.32,,42
1.33,,42
1.34,,42
1.35,,42
1.36,,42
1.37,,42
1.38,,39.4
1.39,,39.4
1.4,,39.4
1.41,,39.4
1.42,,39.4
1.43,,39.4
1.44,,39.4
1.45,,39.4
1.46,,39.4
1.47,,39.4
1.48,,42.2
1.49,,42.2
1.5,,42.2
1.51,,42.2
1.52,,42.2
1.53,,42.2
1.54,,42.2
1.55,,42.2
1.56,,42.2
1.57,,42.2
1.58,,41
1.59,,41
1.6,,41
1.61,,41
1.62,,41
1.63,,41
1.64,,41
1.65,,41
1.66,,41
1.67,,41
1.68,,40.2
1.69,,40.2
1.7,,40.2
1.71,,40.2
1.72,,40.2
1.73,,40.2
1.74,,40.2
1.75,,40.2
1.76,,40.2
1.77,,40.2
1.78,,43.8
1.79,,43.8
1.8,,43.8
1.81,,43.8
1.82,,43.8
1.83,,43.8
1.84,,43.8
1.85,,43.8
1.86,,43.8
1.87,,43.8
1.88,,43.4
1.89,,43.4
1.9,,43.4
1.91,,43.4
1.92,,43.4
1.93,,43.4
1.94,,43.4
1.95,,43.4
1.96,,43.4
1.97,,43.4
1.98,,42.1
1.99,,42.1
2,,42.1
2.01,,42.1
2.02,,42.1
2.03,,42.1
2.04,,42.1
2.05,,42.1
2.06,,42.1
2.07,,42.1
2.08,,45.1
2.09,,45.1
2.1,,45.1
2.11,,45.1
2.12,,45.1
2.13,,45.1
2.14,,45.1
2.15,,45.1
2.16,,45.1
2.17,,45.1
2.18,,48.1
2.19,,48.1
2.2,,48.1
2.21,,48.1
2.22,,48.1
2.23,,48.1
2.24,,48.1
2.25,,48.1
2.26,,48.1
2.27,,48.1
2.28,,53.2
2.29,,53.2
2.3,,53.2
2.31,,53.2
2.32,,53.2
2.33,,53.2
2.34,,53.2
2.35,,53.2
2.36,,53.2
2.37,,53.2
2.38,,57.1
2.39,,57.1
2.4,,57.1
2.41,,57.1
2.42,,57.1
2.43,,57.1
2.44,,57.1
2.45,,57.1
2.46,,57.1
2.47,,57.1
2.48,,64.1
2.49,,64.1
2.5,,64.1
2.51,,64.1
2.52,,64.1
2.53,,64.1
2.54,,64.1
2.55,,64.1
2.56,,64.1
2.57,,64.1
2.58,,67.9
2.59,,67.9
2.6,,67.9
2.61,,67.9
2.62,,67.9
2.63,,67.9
2.64,,67.9
2.65,,67.9
2.66,,67.9
2.67,,67.9
2.68,,69.8
2.69,,69.8
2.7,,69.8
2.71,,69.8
2.72,,69.8
2.73,,69.8
2.74,,69.8
2.75,,69.8
2.76,,69.8
2.77,,69.8
2.78,,74.4
2.79,,74.4
2.8,,74.4
2.81,,74.4
2.82,,74.4
2.83,,74.4
2.84,,74.4
2.85,,74.4
2.86,,74.4
2.87,,74.4
2.88,,76.7
2.89,,76.7
2.9,,76.7
2.91,,76.7
2.92,,76.7
2.93,,76.7
2.94,,76.7
2.95,,76.7
2.96,,76.7
2.97,,76.7
2.98,,83.8
2.99,,83.8
3,,83.8
3.01,,83.8
3.02,,83.8
3.03,,83.8
3.04,,83.8
3.05,,83.8
3.06,,83.8
3.07,,83.8
3.08,,83.5
3.09,,83.5
3.1,,83.5
3.11,,83.5
3.12,,83.5
3.13,,83.5
3.14,,83.5
3.15,,83.5
3.16,,83.5
3.17,,83.5
3.18,,83.1
3.19,,83.1
3.2,,83.1
3.21,,83.1
3.22,,83.1
3.23,,83.1
3.24,,83.1
3.25,,83.1
3.26,,83.1
3.27,,83.1
3.28,,84.6
3.29,,84.6
3.3,,84.6
3.31,,84.6
3.32,,84.6
3.33,,84.6
3.34,,84.6
3.35,,84.6
3.36,,84.6
3.37,,84.6
3.38,,85.2
3.39,,85.2
3.4,,85.2
3.41,,85.2
3.42,,85.2
3.43,,85.2
3.44,,85.2
3.45,,85.2
3.46,,85.2
3.47,,85.2
3.48,,83.1
3.49,,83.1
3.5,,83.1
3.51,,83.1
3.52,,83.1
3.53,,83.1
3.54,,83.1
3.55,,83.1
3.56,,83.1
3.57,,83.1
3.58,,86.9
3.59,,86.9
3.6,,86.9
3.61,,86.9
3.62,,86.9
3.63,,86.9
3.64,,86.9
3.65,,86.9
3.66,,86.9
3.67,,86.9
3.68,,94.5
3.69,,94.5
3.7,,94.5
3.71,,94.5
3.72,,94.5
3.73,,94.5
3.74,,94.5
3.75,,94.5
3.76,,94.5
3.77,,94.5
3.78,,89.7
3.79,,89.7
3.8,,89.7
3.81,,89.7
3.82,,89.7
3.83,,89.7
3.84,,89.7
3.85,,89.7
3.86,,89.7
3.87,,89.7
3.88,,97.7
3.89,,97.7
3.9,,97.7
3.91,,97.7
3.92,,97.7
3.93,,97.7
3.94,,97.7
3.95,,97.7
3.96,,97.7
3.97,,97.7
3.98,,98.7
3.99,,98.7
4,,98.7
4.01,,98.7
4.02,,98.7
4.03,,98.7
4.04,,98.7
4.05,,98.7
4.06,,98.7
4.07,,98.7
4.08,,99.3
4.09,,99.3
4.1,,99.3
4.11,,99.3
4.12,,99.3
4.13,,99.3
4.14,,99.3
4.15,,99.3
4.16,,99.3
4.17,,99.3
4.18,,104.9
4.19,,104.9
4.2,,104.9
4.21,,104.9
4.22,,104.9
4.23,,104.9
4.24,,104.9
4.25,,104.9
4.26,,104.9
4.27,,104.9
4.28,,113.9
4.29,,113.9
4.3,,113.9
4.31,,113.9
4.32,,113.9
4.33,,113.9
4.34,,113.9
4.35,,113.9
4.36,,113.9
4.37,,113.9
4.38,,112.5
4.39,,112.5
4.4,,112.5
4.41,,112.5
4.42,,112.5
4.43,,112.5
4.44,,112.5
4.45,,112.5
4.46,,112.5
4.47,,112.5
4.48,,106.3
4.49,,106.3
4.5,,106.3
4.51,,106.3
4.52,,106.3
4.53,,106.3
4.54,,106.3
4.55,,106.3
4.56,,106.3
4.57,,106.3
4.58,,110.9
4.59,,110.9
4.6,,110.9
4.61,,110.9
4.62,,110.9
4.63,,110.9
4.64,,110.9
4.65,,110.9
4.66,,110.9
4.67,,110.9
4.68,,107.6
4.69,,107.6
4.7,,107.6
4.71,,107.6
4.72,,107.6
4.73,,107.6
4.74,,107.6
4.75,,107.6
4.76,,107.6
4.77,,107.6
4.78,,108.1
4.79,,108.1
4.8,,108.1
4.81,,108.1
4.82,,108.1
4.83,,108.1
4.84,,108.1
4.85,,108.1
4.86,,108.1
4.87,,108.1
4.88,,109.7
4.89,,109.7
4.9,,109.7
4.91,,109.7
4.92,,109.7
4.93,,109.7
4.94,,109.7
4.95,,109.7
4.96,,109.7
4.97,,109.7
4.98,,112
4.99,,112
5,,112
5.01,,112
5.02,,112
5.03,,112
5.04,,112
5.05,,112
5.06,,112
5.07,,112
5.08,,116.6
5.09,,116.6
5.1,,116.6
5.11,,116.6
5.12,,116.6
5.13,,116.6
5.14,,116.6
5.15,,116.6
5.16,,116.6
5.17,,116.6
5.18,,123
5.19,,123
5.2,,123
5.21,,123
5.22,,123
5.23,,123
5.24,,123
5.25,,123
5.26,,123
5.27,,123
5.28,,122.4
5.29,,122.4
5.3,,122.4
5.31,,122.4
5.32,,122.4
5.33,,122.4
5.34,,122.4
5.35,,122.4
5.36,,122.4
5.37,,122.4
5.38,,126.6
5.39,,126.6
5.4,,126.6
5.41,,126.6
5.42,,126.6
5.43,,126.6
5.44,,126.6
5.45,,126.6
5.46,,126.6
5.47,,126.6
5.48,,135
5.49,,135
5.5,,135
5.51,,135
5.52,,135
5.53,,135
5.54,,135
5.55,,135
5.56,,135
5.57,,135
5.58,,169.9
5.59,,169.9
5.6,,169.9
5.61,,169.9
5.62,,169.9
5.63,,169.9
5.64,,169.9
5.65,,169.9
5.66,,169.9
5.67,,169.9
5.68,,181.3
5.69,,181.3
5.7,,181.3
5.71,,181.3
5.72,,181.3
5.73,,181.3
5.74,,181.3
5.75,,181.3
5.76,,181.3
5.77,,181.3
5.78,,183.9
5.79,,183.9
5.8,,183.9
5.81,,183.9
5.82,,183.9
5.83,,183.9
5.84,,183.9
5.85,,183.9
5.86,,183.9
5.87,,183.9
5.88,,59.9
5.89,,59.9
5.9,,59.9
5.91,,59.9
5.92,,59.9
5.93,,59.9
5.94,,59.9
5.95,,59.9
5.96,,59.9
5.97,,59.9
5.98,,0
5.99,,0
6,,0
6.01,,0
6.02,,0
6.03,,0
6.04,,0
6.05,,0
6.06,,0
6.07,,0
6.08,,0
6.09,,0
6.1,,0
6.11,,0
6.12,,0
6.13,,0
6.14,,0
6.15,,0
6.16,,0
6.17,,0
6.18,,0
6.19,,0
6.2,,0
6.21,,0
6.22,,0
6.23,,0
6.24,,0
6.25,,0
6.26,,0
6.27,,0
6.28,,-1.3
6.29,,-1.3
6.3,,-1.3
6.31,,-1.3
6.32,,-1.3
6.33,,-1.3
6.34,,-1.3
6.35,,-1.3
6.36,,-1.3
6.37,,-1.3
6.38,,-1.4
6.39,,-1.4
6.4,,-1.4
6.41,,-1.4
6.42,,-1.4
6.43,,-1.4
6.44,,-1.4
6.45,,-1.4
6.46,,-1.4
6.47,,-1.4
6.48,,3.7
6.49,,3.7
6.5,,3.7
6.51,,3.7
6.52,,3.7
6.53,,3.7
6.54,,3.7
6.55,,3.7
6.56,,3.7
6.57,,3.7
6.58,,4
6.59,,4
6.6,,4
6.61,,4
6.62,,4
6.63,,4
6.64,,4
6.65,,4
6.66,,4
6.67,,4
6.68,,3.7
6.69,,3.7
6.7,,3.7
6.71,,3.7
6.72,,3.7
6.73,,3.7
6.74,,3.7
6.75,,3.7
6.76,,3.7
6.77,,3.7
6.78,,4.1
6.79,,4.1
6.8,,4.1
6.81,,4.1
6.82,,4.1
6.83,,4.1
6.84,,4.1
6.85,,4.1
6.86,,4.1
6.87,,4.1
6.88,,4.1
6.89,,4.1
6.9,,4.1
6.91,,4.1
6.92,,4.1
6.93,,4.1
6.94,,4.1
6.95,,4.1
6.96,,4.1
6.97,,4.1
6.98,,4.3
6.99,,4.3
7,,4.3
7.01,,4.3
7.02,,4.3
7.03,,4.3
7.04,,4.3
7.05,,4.3
7.06,,4.3
7.07,,4.3
7.08,,3.3
7.09,,3.3
7.1,,3.3
7.11,,3.3
7.12,,3.3
7.13,,3.3
7.14,,3.3
7.15,,3.3
7.16,,3.3
7.17,,3.3
7.18,,3.1
7.19,,3.1
7.2,,3.1
7.21,,3.1
7.22,,3.1
7.23,,3.1
7.24,,3.1
7.25,,3.1
7.26,,3.1
7.27,,3.1
7.28,,2.7
7.29,,2.7
7.3,,2.7
7.31,,2.7
7.32,,2.7
7.33,,2.7
7.34,,2.7
7.35,,2.7
7.36,,2.7
7.37,,2.7
7.38,,1.4
7.39,,1.4
7.4,,1.4
7.41,,1.4
7.42,,1.4
7.43,,1.4
7.44,,1.4
7.45,,1.4
7.46,,1.4
7.47,,1.4
7.48,,1
7.49,,1
7.5,,1
7.51,,1
7.52,,1
7.53,,1
7.54,,1
7.55,,1
7.56,,1
7.57,,1
7.58,,3.8
7.59,,3.8
7.6,,3.8
7.61,,3.8
7.62,,3.8
7.63,,3.8
7.64,,3.8
7.65,,3.8
7.66,,3.8
7.67,,3.8
7.68,,8.3
7.69,,8.3
7.7,,8.3
7.71,,8.3
7.72,,8.3
7.73,,8.3
7.74,,8.3
7.75,,8.3
7.76,,8.3
7.77,,8.3
7.78,,17.1
7.79,,17.1
7.8,,17.1
7.81,,17.1
7.82,,17.1
7.83,,17.1
7.84,,17.1
7.85,,17.1
7.86,,17.1
7.87,,17.1
7.88,,24.4
7.89,,24.4
7.9,,24.4
7.91,,24.4
7.92,,24.4
7.93,,24.4
7.94,,24.4
7.95,,24.4
7.96,,24.4
7.97,,24.4
7.98,,28.9
7.99,,28.9
8,,28.9
8.01,,28.9
8.02,,28.9
8.03,,28.9
8.04,,28.9
8.05,,28.9
8.06,,28.9
8.07,,28.9
8.08,,29.3
8.09,,29.3
8.1,,29.3
8.11,,29.3
8.12,,29.3
8.13,,29.3
8.14,,29.3
8.15,,29.3
8.16,,29.3
8.17,,29.3
8.18,,28.3
8.19,,28.3
8.2,,28.3
8.21,,28.3
8.22,,28.3
8.23,,28.3
8.24,,28.3
8.25,,28.3
8.26,,28.3
8.27,,28.3
8.28,,34.3
8.29,,34.3
8.3,,34.3
8.31,,34.3
8.32,,34.3
8.33,,34.3
8.34,,34.3
8.35,,34.3
8.36,,34.3
8.37,,34.3
8.38,,38.9
8.39,,38.9
8.4,,38.9
8.41,,38.9
8.42,,38.9
8.43,,38.9
8.44,,38.9
8.45,,38.9
8.46,,38.9
8.47,,38.9
8.48,,37.9
8.49,,37.9
8.5,,37.9
8.51,,37.9
8.52,,37.9
8.53,,37.9
8.54,,37.9
8.55,,37.9
8.56,,37.9
8.57,,37.9
8.58,,54.4
8.59,,54.4
8.6,,54.4
8.61,,54.4
8.62,,54.4
8.63,,54.4
8.64,,54.4
8.65,,54.4
8.66,,54.4
8.67,,54.4
8.68,,42.5
8.69,,42.5
8.7,,42.5
8.71,,42.5
8.72,,42.5
8.73,,42.5
8.74,,42.5
8.75,,42.5
8.76,,42.5
8.77,,42.5
8.78,,54.4
8.79,,54.4
8.8,,54.4
8.81,,54.4
8.82,,54.4
8.83,,54.4
8.84,,54.4
8.85,,54.4
8.86,,54.4
8.87,,54.4
8.88,,57.3
8.89,,57.3
8.9,,57.3
8.91,,57.3
8.92,,57.3
8.93,,57.3
8.94,,57.3
8.95,,57.3
8.96,,57.3
8.97,,57.3
8.98,,87.6
8.99,,87.6
9,,87.6
9.01,,87.6
9.02,,87.6
9.03,,87.6
9.04,,87.6
9.05,,87.6
9.06,,87.6
9.07,,87.6
9.08,,81.9
9.09,,81.9
9.1,,81.9
9.11,,81.9
9.12,,81.9
9.13,,81.9
9.14,,81.9
9.15,,81.9
9.16,,81.9
9.17,,81.9
9.18,,77
9.19,,77
9.2,,77
9.21,,77
9.22,,77
9.23,,77
9.24,,77
9.25,,77
9.26,,77
9.27,,77
9.28,,94.6
9.29,,94.6
9.3,,94.6
9.31,,94.6
9.32,,94.6
9.33,,94.6
9.34,,94.6
9.35,,94.6
9.36,,94.6
9.37,,94.6
9.38,,92.2
9.39,,92.2
9.4,,92.2
9.41,,92.2
9.42,,92.2
9.43,,92.2
9.44,,92.2
9.45,,92.2
9.46,,92.2
9.47,,92.2
9.48,,133.8
9.49,,133.8
9.5,,133.8
9.51,,133.8
9.52,,133.8
9.53,,133.8
9.54,,133.8
9.55,,133.8
9.56,,133.8
9.57,,133.8
