Time,RPM_1,RPM_2
0.1,0.000846506597202407,0.1
0.11,0.000666951241798446,0.1
0.12,0.000525102807245697,0.1
0.13,0.000413245939235887,0.1
0.14,0.000325134001020721,0.1
0.15,0.000255770555336975,0.1
0.16,0.000201186896504146,0.1
0.17,0.000158243413535025,0.1
0.18,0.000124462294785737,0.2
0.19,9.78907747885412e-05,0.2
0.2,7.69911580721617e-05,0.2
0.21,6.05531917308752e-05,0.2
0.22,4.76246178116079e-05,0.2
0.23,3.74563058879278e-05,0.2
0.24,2.94589846513095e-05,0.2
0.25,2.31691576297815e-05,0.2
0.26,1.8222270980528e-05,0.2
0.27,0.718756052031787,0.200000000000144
0.28,1.41889641469001,26.0999999999999
0.29,2.13395045540822,26.1
0.3,2.81794939078452,26.1
0.31,3.8557824293711,26.1
0.32,4.79382540723317,26.1
0.33,5.90445208527729,26.1
0.34,6.73599591478069,26.1
0.35,7.91570974398628,26.1
0.36,9.25000584512459,26.1
0.37,10.4863576455846,26.1
0.38,11.9466707141448,29.2
0.39,13.620313701823,29.2
0.4,15.3272685566044,29.2
0.41,17.1241649194744,29.2
0.42,18.9008394134785,29.2
0.43,20.3744089235239,29.2
0.44,22.0543279612746,29.2
0.45,23.9922146811318,29.2
0.46,26.1241922793263,29.2
0.47,27.9764858185491,29.2
0.48,29.8020756610205,51.1
0.49,32.1360415065612,51.1
0.5,34.2605184911491,51.1
0.51,36.4958238788533,51.1
0.52,38.6522525767623,51.1
0.53,40.6567265178876,51.1
0.54,42.7710938943089,51.1
0.55,45.0873122077298,51.1
0.56,47.1282199507543,51.1
0.57,49.5150157208887,51.1000000000004
0.58,51.9511941373947,88.6
0.59,54.0946782924782,88.6
0.6,56.1711569418405,88.6
0.61,58.3419054600812,88.6
0.62,60.4315368110291,88.6
0.63,62.5212670587369,88.6
0.64,64.5751104574231,88.6
0.65,66.5626742106533,88.6
0.66,68.3536157229978,88.6
0.67,70.2257431014541,88.6000000000004
0.68,71.8872443370592,122.9
0.69,73.9128581004281,122.9
0.7,75.5253696782522,122.9
0.71,77.2461490641317,122.9
0.72,78.8551309807391,122.9
0.73,80.4705438782192,122.9
0.74,82.1684833671147,122.9
0.75,83.8919616901947,122.9
0.76,85.5919446079958,122.9
0.77,87.3422865312609,122.9
0.78,89.033343512513,158
0.79,90.5415689723636,158
0.8,92.033142868548,158
0.81,93.4914951223519,158
0.82,94.8468115634238,158
0.83,96.1329300193584,158
0.84,97.5051880143706,158
0.85,98.6531186171745,158
0.86,99.854335085918,158
0.87,100.87857568657,158
0.88,101.951459902625,187
0.89,102.864059007429,187
0.9,103.720377606685,187
0.91,104.527852138835,187
0.92,105.270968926624,187
0.93,106.046730921928,187
0.94,106.796447987509,187
0.95,107.469487201995,187
0.96,108.129360152213,187
0.97,108.784626117826,187
0.98,109.319186618291,208.7
0.99,109.780509190021,208.7
1,110.33412118165,208.7
1.01,110.830357777344,208.7
1.02,111.359974382772,208.7
1.03,111.871722292819,208.7
1.04,112.396019530061,208.7
1.05,112.917301563558,208.7
1.06,113.46461456568,208.7
1.07,114.068863784607,208.7
1.08,114.567493038747,227.8
1.09,115.081039330096,227.8
1.1,115.699691576199,227.8
