Time,KW_regen
0.1,-0.999999999999989
0.11,-0.999999999999975
0.12,-0.999999999999957
0.13,-0.999999999999937
0.14,-0.999999999999915
0.15,-0.999999999999894
0.16,-0.999999999999874
0.17,-0.999999999999857
0.18,-0.999999999999842
0.19,-0.999999999999828
0.2,-0.999999999999813
0.21,-0.999999999999797
0.22,-0.999999999999781
0.23,-0.999999999999766
0.24,-0.999999999999752
0.25,-0.999999999999739
0.26,-0.999999999999728
0.27,-0.9999999998648
0.28,-0.999999999250163
0.29,-0.999999998014867
0.3,-0.999999996000479
0.31,-0.999999993023844
0.32,-0.999999988784572
0.33,-0.999999983181889
0.34,-0.999999975984392
0.35,-0.9999999670447
0.36,-0.999999955999484
0.37,-0.999999942467354
0.38,-0.999999926060658
0.39,-0.9999999065399
0.4,-0.999999883377627
0.41,-0.999999856397727
0.42,-0.999999825269051
0.43,-0.999999790115234
0.44,-0.99999975083105
0.45,-0.999999706671759
0.46,-0.999999657118754
0.47,-0.999999601744694
0.48,-0.999999540974443
0.49,-0.999999474153315
0.5,-0.999999401493656
0.51,-0.999999323408215
0.52,-0.999999240268943
0.53,-0.999999151755371
0.54,-0.999999058106393
0.55,-0.999998958714147
0.56,-0.999998853934291
0.57,-0.999998743589255
0.58,-0.999998627292664
0.59,-0.999998505678384
0.6,-0.999998381057052
0.61,-0.999998254012304
0.62,-0.999998125459177
0.63,-0.999997995516001
0.64,-0.99999786442357
0.65,-0.999997732586707
0.66,-0.999997600578062
0.67,-0.999997468872658
0.68,-0.999997337264557
0.69,-0.999997205707984
0.7,-0.999997072639586
0.71,-0.999996937834822
0.72,-0.999996801099017
0.73,-0.999996662332921
0.74,-0.999996521569731
0.75,-0.999996378812699
0.76,-0.999996234115672
0.77,-0.999996087481507
0.78,-0.999995938878189
0.79,-0.99999578943936
0.8,-0.999995642556395
0.81,-0.999995499421863
0.82,-0.999995360877751
0.83,-0.999995227130869
0.84,-0.999995098821711
0.85,-0.999994976300807
0.86,-0.999994859471926
0.87,-0.999994748702567
0.88,-0.999994644056523
0.89,-0.999994545598707
0.9,-0.99999445177396
0.91,-0.999994361497567
0.92,-0.999994274858131
0.93,-0.999994191637499
0.94,-0.999994112302563
0.95,-0.999994036952853
0.96,-0.999993965309607
0.97,-0.999993897601429
0.98,-0.999993833692609
0.99,-0.999993773292564
1,-1.22221596279651
1.01,-1.22221590293495
1.02,-1.22221584238787
1.03,-1.22221578089791
1.04,-1.22221571882947
1.05,-1.22221565618964
1.06,-1.22221559258901
1.07,-1.22221552817061
1.08,-1.22221546270417
1.09,-1.22221539661569
1.1,-1.22221533006331
1.11,-1.22221526319853
1.12,-1.22221519601462
1.13,-1.22221512853001
1.14,-1.22221506074767
1.15,-1.2222149926512
1.16,-1.22221492424952
1.17,-1.22221485554173
1.18,-1.22221478650838
1.19,-1.2222147171409
1.2,-1.22221464746257
1.21,-1.22221457741921
1.22,-1.22221450706618
1.23,-1.22221443639229
1.24,-1.22221436544475
1.25,-1.22221429421752
1.26,-1.22221422268019
1.27,-1.22221415083469
1.28,-1.22221407867334
1.29,-1.22221400620124
1.3,-1.22221393341206
1.31,-1.22221386006249
1.32,-1.22221378566781
1.33,-1.2222137106494
1.34,-1.22221363520787
1.35,-1.22221355940315
1.36,-1.22221348304031
1.37,-1.22221340559775
1.38,-1.22221332746742
1.39,-1.22221324890182
1.4,-1.22221316997676
1.41,-1.22221309093284
1.42,-1.22221301234135
1.43,-1.22221293376966
1.44,-1.22221285496968
1.45,-1.22221277585302
1.46,-1.22221269666615
1.47,-1.22221261796022
1.48,-1.22221253927605
1.49,-1.22221246037907
1.5,-1.22221238120957
1.51,-1.22221230175402
1.52,-1.22221222197519
1.53,-1.22221214189002
1.54,-1.22221206174836
1.55,-1.22221198209204
1.56,-1.22221190249067
1.57,-1.22221182271844
1.58,-1.22221174268733
1.59,-1.22221166233969
1.6,-1.22221158164002
1.61,-1.22221150067989
1.62,-1.22221141945721
1.63,-1.22221133763402
1.64,-1.22221125468787
1.65,-1.22221117108774
1.66,-1.22221108707752
1.67,-1.22221100273993
